timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1576583268655,1172,getChargingStations Request,200,OK,Thread Group 1-1,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,977,0,283
1576583269831,1001,getChargingStations Request,200,OK,Thread Group 1-1,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,713,0,90
1576583270834,710,getChargingStations Request,200,OK,Thread Group 1-1,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,644,0,68
1576583271545,752,getChargingStations Request,200,OK,Thread Group 1-1,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,670,0,38
1576583272298,615,getChargingStations Request,200,OK,Thread Group 1-1,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,543,0,35
1576583272914,775,getChargingStations Request,200,OK,Thread Group 1-1,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,582,0,46
1576583273690,671,getChargingStations Request,200,OK,Thread Group 1-1,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,616,0,36
1576583274362,609,getChargingStations Request,200,OK,Thread Group 1-1,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,552,0,39
1576583274973,788,getChargingStations Request,200,OK,Thread Group 1-1,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,692,0,26
1576583275763,708,getChargingStations Request,200,OK,Thread Group 1-1,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,615,0,33
